t_s,gt_x,gt_y,ekf_x,ekf_y,gt_error_m,divergence_m,gt_travelled_m
1134.6,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1139.6,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1144.6,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1149.6,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1154.6,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1159.6,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1161.0,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1166.0,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1171.0,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1176.0,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1181.0,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1186.0,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1191.0,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1192.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1197.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1202.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1207.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1212.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1217.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1222.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1224.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1228.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1233.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1238.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1243.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1248.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1253.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1256.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1260.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1265.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1270.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1275.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1280.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1285.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1288.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1291.7,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1296.7,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1301.7,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1306.7,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1311.7,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1316.7,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1321.2,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1323.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1328.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1333.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1338.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1343.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1348.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1353.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1354.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1359.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1364.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1369.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1374.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1379.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1384.5,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1385.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1390.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1395.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1400.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1405.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1410.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1415.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1417.9,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1422.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1427.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1432.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1437.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1442.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1447.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1450.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1453.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1458.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1463.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1468.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1473.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1478.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1482.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1485.2,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1490.2,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1495.2,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1500.2,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1505.2,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1510.2,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1514.7,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1516.6,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1521.6,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1526.6,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1531.6,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1536.6,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1541.6,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1546.6,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1548.0,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1553.0,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1558.0,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1563.0,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1568.0,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1573.0,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1578.0,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1579.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1584.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1589.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1594.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1599.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1604.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
1609.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
